tf,anchor_shift,bar_time,currency,vel,acel,zvel,zS,cesta
M30,22,2025.09.30 13:00,EUR,-0.1738135401,-20.9184367877,-0.0080618128,0.2144667606,0.5714285714
M30,22,2025.09.30 13:00,GBP,-5.4312148007,-12.0265024678,-0.2516589172,-0.3755668303,0.7142857143
M30,22,2025.09.30 13:00,JPY,5.1933804630,7.4633135705,0.1431684087,1.6907355859,1.0000000000
M30,22,2025.09.30 13:00,CHF,-40.0662194283,-58.0513484786,-1.7057083845,-1.9569430353,1.0000000000
M30,22,2025.09.30 13:00,CAD,22.0003684860,42.1369607742,0.9165075021,-0.4677720197,0.7142857143
M30,22,2025.09.30 13:00,AUD,-1.9085463535,-14.8290824019,-0.0586366684,0.9138857033,0.8571428571
M30,22,2025.09.30 13:00,NZD,-6.7843528309,-5.0975670552,-0.2510299331,0.1784347768,0.5714285714
M30,23,2025.09.30 12:30,USD,19.5274604529,35.3658087918,0.5259239957,-0.4837736337,0.5714285714
M30,23,2025.09.30 12:30,EUR,2.4435506426,-15.5881298255,0.1108786343,0.2782132420,0.7142857143
M30,23,2025.09.30 12:30,GBP,11.7384953360,22.0142729533,0.5429949962,0.6869173644,0.5714285714
M30,23,2025.09.30 12:30,JPY,-25.4665690403,-40.4452818020,-0.6883240156,0.2157032946,0.7142857143
M30,23,2025.09.30 12:30,CHF,-29.2083621288,-38.8123454257,-1.2518092735,-1.3168712811,1.0000000000
M30,23,2025.09.30 12:30,CAD,-2.0637964678,1.2912770359,-0.0872082365,-1.1820440510,0.8571428571
M30,23,2025.09.30 12:30,AUD,29.0574477128,37.8942689672,0.9050548192,1.9998948066,1.0000000000
M30,23,2025.09.30 12:30,NZD,-6.0282265073,-1.7198706950,-0.2188046411,-0.1980397418,0.5714285714
M30,24,2025.09.30 12:00,USD,24.7210375313,32.1936126086,0.6670318271,-0.0236061496,0.5714285714
M30,24,2025.09.30 12:00,EUR,4.8867206975,-6.7310124747,0.2217111497,0.4307987680,0.7142857143
M30,24,2025.09.30 12:00,GBP,-10.7577596674,-11.6865978773,-0.5048748464,-0.1034309627,0.4285714286
M30,24,2025.09.30 12:00,JPY,6.5191590684,-17.2585751610,0.1795961310,1.8064523650,1.0000000000
M30,24,2025.09.30 12:00,CHF,-22.8917080658,-24.1171598536,-0.9763285547,-1.8162127375,1.0000000000
M30,24,2025.09.30 12:00,CAD,12.6100165156,20.3058207806,0.5291797279,-0.2250388877,0.7142857143
M30,24,2025.09.30 12:00,AUD,11.7750539306,35.9687537257,0.3733885348,0.7363099365,0.8571428571
M30,24,2025.09.30 12:00,NZD,-26.8625200102,-28.6748417484,-0.9705479409,-0.8052723320,0.8571428571
M30,25,2025.09.30 11:30,USD,-16.7254373166,-24.2634760826,-0.4644172422,-1.2604902452,1.0000000000
M30,25,2025.09.30 11:30,EUR,0.5163914289,-24.8055179647,0.0227648098,1.0264170003,0.7142857143
M30,25,2025.09.30 11:30,GBP,5.5598281298,21.1134252643,0.2598443627,-0.2888988927,0.5714285714
M30,25,2025.09.30 11:30,JPY,2.1253878648,-50.2872528437,0.0584857429,1.7214040528,1.0000000000
M30,25,2025.09.30 11:30,CHF,4.6817457721,3.3702971934,0.2032338799,-0.6789689749,0.5714285714
M30,25,2025.09.30 11:30,CAD,-6.4870708426,7.8873197946,-0.2708986584,-0.9999373399,0.8571428571
M30,25,2025.09.30 11:30,AUD,9.0155919579,34.3559833113,0.2836545743,0.8463051098,0.8571428571
M30,25,2025.09.30 11:30,NZD,1.3135630057,32.6292213275,0.0473082124,-0.3658307102,0.5714285714
M30,26,2025.09.30 11:00,USD,-4.1819176515,18.8050348489,-0.1160077711,-1.7752433083,1.0000000000
M30,26,2025.09.30 11:00,EUR,5.6792928941,3.9274993130,0.2542928864,0.3634297854,0.5714285714
M30,26,2025.09.30 11:00,GBP,-13.5093220942,-20.4225815038,-0.6341035102,-0.6686643011,0.5714285714
M30,26,2025.09.30 11:00,JPY,-1.4679037308,-31.0986525416,-0.0396693365,1.6246051496,1.0000000000
M30,26,2025.09.30 11:00,CHF,4.7480728688,3.7361689803,0.2059522735,-0.1535186668,0.5714285714
M30,26,2025.09.30 11:00,CAD,6.2014466679,25.8377961512,0.2536935121,-0.7002309729,0.8571428571
M30,26,2025.09.30 11:00,AUD,-7.6900449950,-8.9181243224,-0.2419306286,1.0143451946,0.8571428571
M30,26,2025.09.30 11:00,NZD,10.2203760407,8.1328590744,0.3664997702,0.2952771195,0.5714285714
M30,27,2025.09.30 10:30,USD,19.4714341942,64.2918853411,0.5532809102,-0.5987650214,0.8571428571
M30,27,2025.09.30 10:30,EUR,7.6956999384,-4.1837133641,0.3452884044,0.0463121069,0.4285714286
M30,27,2025.09.30 10:30,GBP,9.7149146104,11.5268396531,0.4824093984,0.5840867091,0.5714285714
M30,27,2025.09.30 10:30,JPY,0.1952450036,-29.5947785739,0.0052568881,1.4688804261,1.0000000000
M30,27,2025.09.30 10:30,CHF,3.9470994377,4.6103834158,0.1706179494,0.3882985171,0.5714285714
M30,27,2025.09.30 10:30,CAD,-8.1716543130,12.8747506767,-0.3409483574,-2.1568532338,1.0000000000
M30,27,2025.09.30 10:30,AUD,-37.2887608072,-65.3945874708,-1.2088362015,-0.2544731135,0.4285714286
M30,27,2025.09.30 10:30,NZD,4.4360219359,5.8692203221,0.1588912999,0.5225136094,0.7142857143
M30,28,2025.09.30 10:00,USD,-34.1522648419,-48.7314625762,-1.0096519604,-1.7086727028,1.0000000000
M30,28,2025.09.30 10:00,EUR,20.7446232475,19.9911503010,0.9287615543,0.1582980026,0.4285714286
M30,28,2025.09.30 10:00,GBP,6.5952876671,17.1004963273,0.3294638538,0.0547102591,0.4285714286
M30,28,2025.09.30 10:00,JPY,-2.2699331075,-26.2780986882,-0.0611180010,0.8680981269,0.7142857143
M30,28,2025.09.30 10:00,CHF,17.9851290503,11.8503951421,0.8007668804,0.9659759956,0.8571428571
M30,28,2025.09.30 10:00,CAD,-20.1365922881,-18.3885452981,-0.8174216082,-1.5964763871,0.8571428571
M30,28,2025.09.30 10:00,AUD,12.9205360484,43.2213582759,0.4239121492,0.7421248424,0.8571428571
M30,28,2025.09.30 10:00,NZD,-1.6867857757,1.2347065162,-0.0595819215,0.5159418634,0.5714285714
M30,29,2025.09.30 09:30,USD,-15.8383483389,14.8974790585,-0.4627043856,-1.6981315767,1.0000000000
M30,29,2025.09.30 09:30,EUR,18.0316804681,26.3088502269,0.7973125520,0.0677176473,0.5714285714
M30,29,2025.09.30 09:30,GBP,-10.2757776173,-19.0415386356,-0.4821128805,-0.2120239242,0.5714285714
M30,29,2025.09.30 09:30,JPY,14.9787127617,-31.8185932760,0.4081753130,1.8711478508,1.0000000000
