tf,anchor_shift,bar_time,pair,ifm_light
M30,14,2025.09.26 16:30,USDJPY,49.5515403756
M30,15,2025.09.26 16:00,AUDCAD,49.5916386296
M30,15,2025.09.26 16:00,AUDCHF,38.0044805362
M30,15,2025.09.26 16:00,AUDJPY,52.2160432679
M30,15,2025.09.26 16:00,AUDNZD,59.1574479530
M30,15,2025.09.26 16:00,AUDUSD,52.5614754916
M30,15,2025.09.26 16:00,CADCHF,36.4348950714
M30,15,2025.09.26 16:00,CADJPY,42.2261201648
M30,15,2025.09.26 16:00,CHFJPY,55.3023234639
M30,15,2025.09.26 16:00,EURAUD,60.6739810440
M30,15,2025.09.26 16:00,EURCAD,67.3855436917
M30,15,2025.09.26 16:00,EURCHF,55.5798235261
M30,15,2025.09.26 16:00,EURGBP,20.0000000000
M30,15,2025.09.26 16:00,EURJPY,51.9620185736
M30,15,2025.09.26 16:00,EURNZD,64.8947096875
M30,15,2025.09.26 16:00,EURUSD,62.5691548956
M30,15,2025.09.26 16:00,GBPAUD,78.6563158674
M30,15,2025.09.26 16:00,GBPCAD,80.0000000000
M30,15,2025.09.26 16:00,GBPCHF,80.0000000000
M30,15,2025.09.26 16:00,GBPJPY,80.0000000000
M30,15,2025.09.26 16:00,GBPNZD,84.9730897925
M30,15,2025.09.26 16:00,GBPUSD,73.3333333333
M30,15,2025.09.26 16:00,NZDCAD,46.2988438517
M30,15,2025.09.26 16:00,NZDCHF,31.5928480295
M30,15,2025.09.26 16:00,NZDJPY,47.0929171563
M30,15,2025.09.26 16:00,NZDUSD,52.4914921453
M30,15,2025.09.26 16:00,USDCAD,43.3266033129
M30,15,2025.09.26 16:00,USDCHF,43.9773398910
M30,15,2025.09.26 16:00,USDJPY,38.6002273187
M30,16,2025.09.26 15:30,AUDCAD,57.9527212849
M30,16,2025.09.26 15:30,AUDCHF,56.5566690207
M30,16,2025.09.26 15:30,AUDJPY,55.0209696048
M30,16,2025.09.26 15:30,AUDNZD,63.6223630226
